"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"POST","/admin/auth/unlink-all","Missing","N/A","","unlinkAllOAuthAccountsAdmin","Auth (admin)","Auth","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `adminAuth.unlinkAll` permission.",""
"POST","/admin/notifications","Missing","N/A","","createNotification","Notifications (Admin)","Notification","","False","False","False","False",,,""
"POST","/admin/notifications/templates/{name}","Missing","N/A","","getNotificationTemplateAdmin","Notifications (Admin)","Notification","","False","False","False","False",,,""
"POST","/admin/notifications/test-email","Missing","N/A","","sendTestEmailAdmin","Notifications (Admin)","Notification","","False","False","False","False",,,""
"GET","/admin/users/{id}/sessions","Missing","N/A","","getUserSessionsAdmin","Users (admin)","User","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `adminSession.read` permission.",""
"GET","/admin/users/{id}/statistics","Missing","N/A","","getUserStatisticsAdmin","Users (admin)","User","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `adminUser.read` permission.",""
"PUT","/albums/assets","Missing","N/A","","addAssetsToAlbums","Albums","Album","","False","False","False","False",,"This endpoint requires the `albumAsset.create` permission.",""
"GET","/api-keys/me","Missing","N/A","","getMyApiKey","API Keys","APIKey","","False","False","False","False",,,""
"PUT","/assets/copy","Missing","N/A","","copyAsset","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.copy` permission.",""
"GET","/assets/random","Deprecated","N/A","","getRandom","Assets, Deprecated","Asset","","False","False","False","True",,"This property was deprecated in v1.116.0. This endpoint requires the `asset.read` permission.",""
"GET","/assets/{id}/metadata","Missing","N/A","","getAssetMetadata","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"PUT","/assets/{id}/metadata","Missing","N/A","","updateAssetMetadata","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.update` permission.",""
"DELETE","/assets/{id}/metadata/{key}","Missing","N/A","","deleteAssetMetadata","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.update` permission.",""
"GET","/assets/{id}/metadata/{key}","Missing","N/A","","getAssetMetadataByKey","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"GET","/assets/{id}/ocr","Missing","N/A","","getAssetOcr","Assets","Asset","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"PUT","/assets/{id}/original","Deprecated","N/A","","replaceAsset","Assets, Deprecated","Asset","","False","False","False","True",,"This property was deprecated in v1.142.0. Replace the asset with new file, without changing its id. This endpoint requires the `asset.replace` permission.",""
"DELETE","/auth/pin-code","Missing","N/A","","resetPinCode","Authentication","Auth","","False","False","False","False",,"This endpoint requires the `pinCode.delete` permission.",""
"POST","/auth/pin-code","Missing","N/A","","setupPinCode","Authentication","Auth","","False","False","False","False",,"This endpoint requires the `pinCode.create` permission.",""
"PUT","/auth/pin-code","Missing","N/A","","changePinCode","Authentication","Auth","","False","False","False","False",,"This endpoint requires the `pinCode.update` permission.",""
"POST","/auth/session/lock","Missing","N/A","","lockAuthSession","Authentication","Auth","","False","False","False","False",,,""
"POST","/auth/session/unlock","Missing","N/A","","unlockAuthSession","Authentication","Auth","","False","False","False","False",,,""
"GET","/auth/status","Missing","N/A","","getAuthStatus","Authentication","Auth","","False","False","False","False",,,""
"DELETE","/duplicates","Missing","N/A","","deleteDuplicates","Duplicates","Duplicates","","False","False","False","False",,"This endpoint requires the `duplicate.delete` permission.",""
"DELETE","/duplicates/{id}","Missing","N/A","","deleteDuplicate","Duplicates","Duplicates","","False","False","False","False",,"This endpoint requires the `duplicate.delete` permission.",""
"POST","/faces","Missing","N/A","","createFace","Faces","Face","","False","False","False","False",,"This endpoint requires the `face.create` permission.",""
"DELETE","/faces/{id}","Missing","N/A","","deleteFace","Faces","Face","","False","False","False","False",,"This endpoint requires the `face.delete` permission.",""
"GET","/memories/statistics","Missing","N/A","","memoriesStatistics","Memories","Memories","","False","False","False","False",,"This endpoint requires the `memory.statistics` permission.",""
"DELETE","/notifications","Missing","N/A","","deleteNotifications","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.delete` permission.",""
"GET","/notifications","Missing","N/A","","getNotifications","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.read` permission.",""
"PUT","/notifications","Missing","N/A","","updateNotifications","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.update` permission.",""
"DELETE","/notifications/{id}","Missing","N/A","","deleteNotification","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.delete` permission.",""
"GET","/notifications/{id}","Missing","N/A","","getNotification","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.read` permission.",""
"PUT","/notifications/{id}","Missing","N/A","","updateNotification","Notifications","Notification","","False","False","False","False",,"This endpoint requires the `notification.update` permission.",""
"POST","/partners","Missing","N/A","","createPartner","Partners","Partner","","False","False","False","False",,"This endpoint requires the `partner.create` permission.",""
"DELETE","/people","Missing","N/A","","deletePeople","People","Person","","False","False","False","False",,"This endpoint requires the `person.delete` permission.",""
"DELETE","/people/{id}","Missing","N/A","","deletePerson","People","Person","","False","False","False","False",,"This endpoint requires the `person.delete` permission.",""
"POST","/search/large-assets","Missing","N/A","","searchLargeAssets","Search","Search","","False","False","False","False",,"This endpoint requires the `asset.read` permission.",""
"POST","/search/statistics","Missing","N/A","","searchAssetStatistics","Search","Search","","False","False","False","False",,"This endpoint requires the `asset.statistics` permission.",""
"GET","/server/apk-links","Missing","N/A","","getApkLinks","Server","Server","","False","False","False","False",,"This endpoint requires the `server.apkLinks` permission.",""
"GET","/server/version-check","Missing","N/A","","getVersionCheck","Server","Server","","False","False","False","False",,"This endpoint requires the `server.versionCheck` permission.",""
"POST","/sessions","Missing","N/A","","createSession","Sessions","Session","","False","False","False","False",,"This endpoint requires the `session.create` permission.",""
"PUT","/sessions/{id}","Missing","N/A","","updateSession","Sessions","Session","","False","False","False","False",,"This endpoint requires the `session.update` permission.",""
"POST","/sessions/{id}/lock","Missing","N/A","","lockSession","Sessions","Session","","False","False","False","False",,"This endpoint requires the `session.lock` permission.",""
"DELETE","/stacks","Missing","N/A","","deleteStacks","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.delete` permission.",""
"GET","/stacks","Missing","N/A","","searchStacks","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.read` permission.",""
"POST","/stacks","Missing","N/A","","createStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.create` permission.",""
"DELETE","/stacks/{id}","Missing","N/A","","deleteStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.delete` permission.",""
"GET","/stacks/{id}","Missing","N/A","","getStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.read` permission.",""
"PUT","/stacks/{id}","Missing","N/A","","updateStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.update` permission.",""
"DELETE","/stacks/{id}/assets/{assetId}","Missing","N/A","","removeAssetFromStack","Stacks","Stack","","False","False","False","False",,"This endpoint requires the `stack.update` permission.",""
"DELETE","/sync/ack","Missing","N/A","","deleteSyncAck","Sync","Server","","False","False","False","False",,"This endpoint requires the `syncCheckpoint.delete` permission.",""
"GET","/sync/ack","Missing","N/A","","getSyncAck","Sync","Server","","False","False","False","False",,"This endpoint requires the `syncCheckpoint.read` permission.",""
"POST","/sync/ack","Missing","N/A","","sendSyncAck","Sync","Server","","False","False","False","False",,"This endpoint requires the `syncCheckpoint.update` permission.",""
"POST","/sync/stream","Missing","N/A","","getSyncStream","Sync","Server","","False","False","False","False",,"This endpoint requires the `sync.stream` permission.",""
"GET","/system-metadata/version-check-state","Missing","N/A","","getVersionCheckState","System Metadata","Server","","False","False","False","False",,"This endpoint is an admin-only route, and requires the `systemMetadata.read` permission.",""
"GET","/users","Missing","N/A","","searchUsers","Users","User","","False","False","False","False",,"This endpoint requires the `user.read` permission.",""
"PUT","/users/me","Missing","N/A","","updateMyUser","Users","User","","False","False","False","False",,"This endpoint requires the `user.update` permission.",""
"DELETE","/users/me/license","Missing","N/A","","deleteUserLicense","Users","User","","False","False","False","False",,"This endpoint requires the `userLicense.delete` permission.",""
"GET","/users/me/license","Missing","N/A","","getUserLicense","Users","User","","False","False","False","False",,"This endpoint requires the `userLicense.read` permission.",""
"PUT","/users/me/license","Missing","N/A","","setUserLicense","Users","User","","False","False","False","False",,"This endpoint requires the `userLicense.update` permission.",""
"DELETE","/users/me/onboarding","Missing","N/A","","deleteUserOnboarding","Users","User","","False","False","False","False",,"This endpoint requires the `userOnboarding.delete` permission.",""
"GET","/users/me/onboarding","Missing","N/A","","getUserOnboarding","Users","User","","False","False","False","False",,"This endpoint requires the `userOnboarding.read` permission.",""
"PUT","/users/me/onboarding","Missing","N/A","","setUserOnboarding","Users","User","","False","False","False","False",,"This endpoint requires the `userOnboarding.update` permission.",""
"PUT","/users/me/preferences","Missing","N/A","","updateMyPreferences","Users","User","","False","False","False","False",,"This endpoint requires the `userPreference.update` permission.",""
"POST","/users/profile-image","Missing","N/A","","createProfileImage","Users","User","","False","False","False","False",,"This endpoint requires the `userProfileImage.update` permission.",""
"GET","/view/folder","Missing","N/A","","getAssetsByOriginalPath","View","Asset","","False","False","False","False",,,""
"GET","/view/folder/unique-paths","Missing","N/A","","getUniqueOriginalPaths","View","Asset","","False","False","False","False",,,""
